case_id,domain,act,section,court,facts,issues,arguments,analysis,ratio,decision,label
CASE0001,Cheque Bounce,Negotiable Instruments Act,138,Supreme Court,A statutory notice was served upon the accused. The cheque was dishonoured due to insufficient funds. The accused issued a cheque towards repayment of debt.,Whether Section 138 NI Act is attracted.,Complainant proved legally enforceable debt.,Court examined bank memo and statutory notice.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Acquittal,0
CASE0002,Cheque Bounce,Negotiable Instruments Act,138,Supreme Court,The accused issued a cheque towards repayment of debt. A statutory notice was served upon the accused. The cheque was dishonoured due to insufficient funds.,Whether Section 138 NI Act is attracted.,Complainant proved legally enforceable debt.,Court verified limitation period.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Acquittal,0
CASE0003,Murder,Indian Penal Code,302,Delhi High Court,Accused allegedly caused death using a deadly weapon. Medical evidence supported prosecution. Eyewitness testimony was produced.,Whether ingredients of Section 302 IPC are established.,Defence questioned credibility.,Court evaluated motive and forensic evidence.,Prosecution must establish guilt beyond reasonable doubt.,Acquittal,0
CASE0004,Cheque Bounce,Negotiable Instruments Act,138,Supreme Court,The cheque was dishonoured due to insufficient funds. The accused issued a cheque towards repayment of debt. A statutory notice was served upon the accused.,Whether legal notice requirements were fulfilled.,Accused denied liability.,Court examined bank memo and statutory notice.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Conviction,1
CASE0005,Motor Accident,Motor Vehicles Act,166,Supreme Court,Insurance policy was valid. Road accident caused bodily injuries.,Quantum of compensation.,Claimant relied upon medical records.,Tribunal assessed disability percentage.,Compensation should be just and reasonable.,Claim Rejected,0
CASE0006,Cheque Bounce,Negotiable Instruments Act,138,Bombay High Court,The accused issued a cheque towards repayment of debt. The cheque was dishonoured due to insufficient funds. A statutory notice was served upon the accused.,Whether legal notice requirements were fulfilled.,Accused denied liability.,Court examined bank memo and statutory notice.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Acquittal,0
CASE0007,Consumer,Consumer Protection Act,35,Delhi High Court,Consumer purchased defective goods. Seller failed to provide replacement.,Whether deficiency in service exists.,Consumer sought compensation.,Commission reviewed invoices and expert reports.,Consumer entitled to compensation for proven deficiency.,Complaint Dismissed,0
CASE0008,Murder,Indian Penal Code,302,Bombay High Court,Medical evidence supported prosecution. Eyewitness testimony was produced. Accused allegedly caused death using a deadly weapon.,Whether ingredients of Section 302 IPC are established.,Prosecution relied upon eyewitnesses.,Court evaluated motive and forensic evidence.,Prosecution must establish guilt beyond reasonable doubt.,Acquittal,0
CASE0009,Cheque Bounce,Negotiable Instruments Act,138,Bombay High Court,A statutory notice was served upon the accused. The cheque was dishonoured due to insufficient funds. The accused issued a cheque towards repayment of debt.,Whether legal notice requirements were fulfilled.,Accused denied liability.,Court verified limitation period.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Acquittal,0
CASE0010,Consumer,Consumer Protection Act,35,Bombay High Court,Seller failed to provide replacement. Consumer purchased defective goods.,Whether deficiency in service exists.,Seller denied manufacturing defect.,Commission reviewed invoices and expert reports.,Consumer entitled to compensation for proven deficiency.,Complaint Dismissed,0
CASE0011,Cheque Bounce,Negotiable Instruments Act,138,Supreme Court,The accused issued a cheque towards repayment of debt. A statutory notice was served upon the accused. The cheque was dishonoured due to insufficient funds.,Whether legal notice requirements were fulfilled.,Complainant proved legally enforceable debt.,Court verified limitation period.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Acquittal,0
CASE0012,Murder,Indian Penal Code,302,Delhi High Court,Medical evidence supported prosecution. Accused allegedly caused death using a deadly weapon. Eyewitness testimony was produced.,Whether ingredients of Section 302 IPC are established.,Defence questioned credibility.,Court evaluated motive and forensic evidence.,Prosecution must establish guilt beyond reasonable doubt.,Acquittal,0
CASE0013,Consumer,Consumer Protection Act,35,Karnataka High Court,Consumer purchased defective goods. Seller failed to provide replacement.,Whether deficiency in service exists.,Consumer sought compensation.,Commission reviewed invoices and expert reports.,Consumer entitled to compensation for proven deficiency.,Compensation Awarded,1
CASE0014,Cyber Crime,Information Technology Act,66,Bombay High Court,Unauthorized access to computer resources. Victim suffered financial loss.,Applicability of Information Technology Act.,Digital evidence linked accused.,Court examined electronic evidence.,Electronic evidence must satisfy admissibility requirements.,Acquittal,0
CASE0015,Consumer,Consumer Protection Act,35,Supreme Court,Consumer purchased defective goods. Seller failed to provide replacement.,Whether deficiency in service exists.,Seller denied manufacturing defect.,Commission reviewed invoices and expert reports.,Consumer entitled to compensation for proven deficiency.,Compensation Awarded,1
CASE0016,Motor Accident,Motor Vehicles Act,166,Madras High Court,Road accident caused bodily injuries. Insurance policy was valid.,Quantum of compensation.,Claimant relied upon medical records.,Tribunal assessed disability percentage.,Compensation should be just and reasonable.,Claim Rejected,0
CASE0017,Cyber Crime,Information Technology Act,66,Karnataka High Court,Victim suffered financial loss. Unauthorized access to computer resources.,Applicability of Information Technology Act.,Digital evidence linked accused.,Court examined electronic evidence.,Electronic evidence must satisfy admissibility requirements.,Conviction,1
CASE0018,Murder,Indian Penal Code,302,Madras High Court,Accused allegedly caused death using a deadly weapon. Medical evidence supported prosecution. Eyewitness testimony was produced.,Whether ingredients of Section 302 IPC are established.,Prosecution relied upon eyewitnesses.,Court evaluated motive and forensic evidence.,Prosecution must establish guilt beyond reasonable doubt.,Conviction,1
CASE0019,Cyber Crime,Information Technology Act,66,Supreme Court,Unauthorized access to computer resources. Victim suffered financial loss.,Applicability of Information Technology Act.,Digital evidence linked accused.,Court examined electronic evidence.,Electronic evidence must satisfy admissibility requirements.,Conviction,1
CASE0020,Motor Accident,Motor Vehicles Act,166,Karnataka High Court,Road accident caused bodily injuries. Insurance policy was valid.,Quantum of compensation.,Insurance company disputed negligence.,Tribunal assessed disability percentage.,Compensation should be just and reasonable.,Claim Rejected,0
CASE0021,Motor Accident,Motor Vehicles Act,166,Supreme Court,Road accident caused bodily injuries. Insurance policy was valid.,Quantum of compensation.,Insurance company disputed negligence.,Tribunal assessed disability percentage.,Compensation should be just and reasonable.,Compensation Granted,1
CASE0022,Consumer,Consumer Protection Act,35,Madras High Court,Seller failed to provide replacement. Consumer purchased defective goods.,Whether deficiency in service exists.,Consumer sought compensation.,Commission reviewed invoices and expert reports.,Consumer entitled to compensation for proven deficiency.,Compensation Awarded,1
